step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,12,14,13,13,left,left,0,0
2,13,13,12,12,left,left,0,0
3,14,12,12,12,stay,none,0,0
4,15,11,12,13,stay,right,0,0
5,16,10,13,14,right,right,0,0
6,17,9,14,15,right,right,0,0
7,18,8,15,16,right,right,0,0
8,19,7,16,17,right,right,0,0
9,20,6,17,18,right,right,0,0
10,21,5,18,19,right,right,0,0
11,22,4,19,20,right,right,0,0
12,23,3,19,21,stay,right,0,0
13,24,2,20,22,right,right,0,0
14,25,1,21,23,right,right,0,0
15,26,0,22,24,right,right,0,0
16,12,14,13,13,left,left,1,0
17,11,13,12,12,left,left,1,0
18,10,12,11,11,left,left,1,0
19,9,11,10,10,left,left,1,0
20,8,10,9,9,left,left,1,0
21,7,9,8,8,left,left,1,0
22,6,8,7,7,left,left,1,0
23,5,7,6,6,left,left,1,0
24,4,6,5,5,left,left,1,0
25,3,5,4,4,left,left,1,0
26,2,4,3,3,left,left,1,0
27,1,3,2,2,left,left,1,0
28,0,2,1,1,left,left,1,0
29,1,1,0,0,left,left,1,0
30,2,0,0,0,stay,none,1,0
31,23,14,14,15,stay,right,2,0
32,24,13,15,16,right,right,2,0
33,25,12,16,17,right,right,2,0
34,26,11,17,18,right,right,2,0
35,27,10,18,19,right,right,2,0
36,28,9,19,20,right,right,2,0
37,29,8,20,21,right,right,2,0
38,28,7,21,22,right,right,2,0
39,27,6,22,23,right,right,2,0
40,26,5,23,24,right,right,2,0
41,25,4,24,25,right,right,2,0
42,24,3,23,25,left,none,2,0
43,23,2,23,24,stay,left,2,0
44,22,1,23,23,stay,left,2,0
45,21,0,22,22,left,left,2,0
46,14,16,13,13,left,left,3,0
47,15,17,13,13,stay,none,3,0
48,16,18,14,14,right,right,3,0
49,17,19,15,15,right,right,3,0
50,18,20,16,16,right,right,3,0
51,19,21,17,17,right,right,3,0
52,20,22,18,18,right,right,3,0
53,21,23,19,19,right,right,3,0
54,22,24,20,20,right,right,3,0
55,23,25,21,21,right,right,3,0
56,24,26,22,22,right,right,3,0
57,25,27,23,23,right,right,3,0
58,26,28,24,24,right,right,3,0
59,27,29,25,25,right,right,3,0
60,7,16,13,13,left,left,3,1
61,8,17,12,12,left,left,3,1
62,9,18,11,11,left,left,3,1
63,10,19,10,10,left,left,3,1
64,11,20,10,10,stay,none,3,1
65,12,21,10,10,stay,none,3,1
66,13,22,11,11,right,right,3,1
67,14,23,12,12,right,right,3,1
68,15,24,13,13,right,right,3,1
69,16,25,14,14,right,right,3,1
70,17,26,15,15,right,right,3,1
71,18,27,14,16,left,right,3,1
72,19,28,15,17,right,right,3,1
73,20,29,16,18,right,right,3,1
74,19,14,15,15,right,right,3,2
75,20,13,16,16,right,right,3,2
76,21,12,17,17,right,right,3,2
77,22,11,18,18,right,right,3,2
78,23,10,19,19,right,right,3,2
79,24,9,20,20,right,right,3,2
80,25,8,21,21,right,right,3,2
81,26,7,22,22,right,right,3,2
82,27,6,23,23,right,right,3,2
83,28,5,24,24,right,right,3,2
84,29,4,25,25,right,right,3,2
85,28,3,26,26,right,right,3,2
86,27,2,27,27,right,right,3,2
87,26,1,27,27,stay,none,3,2
88,25,0,26,26,left,left,3,2
89,1,14,13,13,left,left,4,2
90,0,13,12,12,left,left,4,2
91,1,12,11,11,left,left,4,2
92,2,11,10,10,left,left,4,2
93,3,10,9,9,left,left,4,2
94,4,9,8,8,left,left,4,2
95,5,8,7,7,left,left,4,2
96,6,7,6,6,left,left,4,2
97,7,6,6,6,stay,none,4,2
98,8,5,6,6,stay,none,4,2
99,9,4,7,7,right,right,4,2
100,10,3,8,8,right,right,4,2
101,11,2,9,9,right,right,4,2
102,12,1,10,10,right,right,4,2
103,13,0,11,11,right,right,4,2
